geo_description,year,estimate,moe,se,cv,type,subtype
Pitt,2018,0.6038504899835226,0.23761627397280488,0.1212327928432678,20.076624074044535,Race / Ethnicity,Hispanic / Latino
Pitt,2018,0.29225674987264394,0.05162640305973305,0.026340001561088292,9.012623856443492,Race / Ethnicity,"White, non-Hispanic"
Randolph,2018,0.3610207004296316,0.1714657690114135,0.08748253520990484,24.231999745664588,Race / Ethnicity,"Black, non-Hispanic"
Randolph,2018,0.4456165444901365,0.1716182361729407,0.08756032457803097,19.64925352540834,Race / Ethnicity,Hispanic / Latino
Randolph,2018,0.33004926108374383,0.05615952837779729,0.028652820600916982,8.681376988039027,Race / Ethnicity,"White, non-Hispanic"
Robeson,2018,0.6202118398142774,0.07007906219986793,0.03575462357136119,5.76490503342663,Race / Ethnicity,"Black, non-Hispanic"
Robeson,2018,0.6520202935314369,0.14262045542994908,0.07276553848466791,11.16001130740259,Race / Ethnicity,Hispanic / Latino
Robeson,2018,0.3404568623749292,0.06281476765199395,0.03204835084285406,9.413336720339245,Race / Ethnicity,"White, non-Hispanic"
Rockingham,2018,0.48159209103547707,0.14407981630476385,0.07351011035957339,15.263977903274615,Race / Ethnicity,"Black, non-Hispanic"
Rockingham,2018,0.8812816188870152,0.1361071683941998,0.06944243285418358,7.879709659879615,Race / Ethnicity,Hispanic / Latino
Rockingham,2018,0.26839385983762015,0.06038946938502776,0.030810953767871307,11.479753592914575,Race / Ethnicity,"White, non-Hispanic"
Rowan,2018,0.4972924988903684,0.16423376124235375,0.0837927353277315,16.84978870879856,Race / Ethnicity,"Black, non-Hispanic"
Rowan,2018,0.47308018177616884,0.3875979360826294,0.1977540490217497,41.8013809581468,Race / Ethnicity,Hispanic / Latino
Rowan,2018,0.23372708437662632,0.05118642923470354,0.026115525119746706,11.173512556064884,Race / Ethnicity,"White, non-Hispanic"
Union,2018,0.03303812090874086,0.04576668763788433,0.02335035083565527,70.6769943125836,Race / Ethnicity,"Black, non-Hispanic"
Union,2018,0.21885449250350555,0.2189171397288861,0.11169241822902352,51.035012784685904,Race / Ethnicity,Hispanic / Latino
Union,2018,0.0891857770072924,0.026325257938274997,0.013431254050140305,15.05986100120211,Race / Ethnicity,"White, non-Hispanic"
Wake,2018,0.34973476963807804,0.053470308419612825,0.02728076960184328,7.8004167644168465,Race / Ethnicity,"Black, non-Hispanic"
Wake,2018,0.3945683939150473,0.07078805786085901,0.03611635605145868,9.153382939038632,Race / Ethnicity,Hispanic / Latino
Wake,2018,0.13004882992445183,0.014003457203366135,0.0071446210221255795,5.493798772565692,Race / Ethnicity,"White, non-Hispanic"
Wayne,2018,0.519249778887675,0.09138440203378723,0.046624694915197565,8.979242131807148,Race / Ethnicity,"Black, non-Hispanic"
Wayne,2018,0.5246651637713831,0.18599093066617411,0.09489333197253781,18.08645561493511,Race / Ethnicity,Hispanic / Latino
Wayne,2018,0.30852722658758064,0.06414046782323345,0.032724728481241555,10.606755469586439,Race / Ethnicity,"White, non-Hispanic"
