year,fmr1,fmr2,fmr3,fmr4,countyname
2013,483,611,761,817,Rockingham
2013,504,652,868,1001,Rowan
2013,514,610,865,1016,Rutherford
2013,491,610,824,947,Sampson
2013,460,622,795,831,Scotland
2013,465,613,847,1070,Stanly
2013,554,678,978,1032,Stokes
2013,514,610,899,1080,Surry
2013,546,739,920,1114,Swain
2013,498,651,867,870,Transylvania
2013,514,610,781,918,Tyrrell
2013,669,793,1069,1326,Union
2013,495,670,834,977,Vance
2013,741,878,1137,1412,Wake
2013,464,610,899,1080,Warren
2013,488,610,874,1030,Washington
2013,627,806,1130,1315,Watauga
2013,452,611,797,974,Wayne
2013,514,610,760,1019,Wilkes
2013,520,703,935,939,Wilson
2013,554,678,978,1032,Yadkin
2013,461,610,767,815,Yancey
2012,614,716,972,1002,Alamance
2012,516,593,761,886,Alexander
2012,510,584,766,790,Alleghany
2012,522,584,821,867,Anson
2012,485,584,772,913,Ashe
2012,574,678,811,957,Avery
2012,518,610,734,755,Beaufort
2012,507,584,699,721,Bertie
2012,466,591,861,930,Bladen
2012,668,807,1131,1163,Brunswick
2012,617,704,943,1236,Buncombe
2012,516,593,761,886,Burke
2012,713,791,997,1160,Cabarrus
2012,516,593,761,886,Caldwell
2012,711,839,1133,1161,Camden
2012,567,681,992,1194,Carteret
2012,478,584,714,745,Caswell
2012,516,593,761,886,Catawba
2012,695,779,1018,1098,Chatham
2012,492,584,849,1023,Cherokee
2012,572,675,911,934,Chowan
2012,489,586,769,895,Clay
2012,507,609,802,901,Cleveland
2012,526,584,700,720,Columbus
2012,637,730,984,1229,Craven
2012,617,689,978,1158,Cumberland
2012,919,1064,1454,1753,Currituck
2012,798,979,1294,1331,Dare
2012,515,620,808,923,Davidson
2012,533,618,842,990,Davie
2012,524,584,739,762,Duplin
2012,695,779,1018,1098,Durham
2012,484,616,765,788,Edgecombe
2012,533,618,842,990,Forsyth
2012,763,849,1067,1105,Franklin
2012,713,791,997,1160,Gaston
2012,504,595,803,823,Gates
2012,487,584,766,892,Graham
2012,599,720,899,1068,Granville
2012,486,584,825,852,Greene
2012,586,653,827,885,Guilford
2012,541,599,762,874,Halifax
2012,613,680,918,1194,Harnett
2012,513,640,829,1073,Haywood
2012,617,704,943,1236,Henderson
2012,533,594,779,801,Hertford
2012,527,584,799,975,Hoke
2012,650,767,1035,1062,Hyde
2012,599,717,950,1240,Iredell
2012,516,614,806,832,Jackson
2012,763,849,1067,1105,Johnston
2012,488,584,808,1028,Jones
2012,559,631,775,1107,Lee
2012,476,626,748,1074,Lenoir
2012,547,608,734,755,Lincoln
2012,452,584,721,742,McDowell
2012,508,655,796,1149,Macon
2012,617,704,943,1236,Madison
2012,515,584,756,778,Martin
2012,713,791,997,1160,Mecklenburg
2012,494,584,698,825,Mitchell
2012,526,584,728,1026,Montgomery
2012,517,651,936,1142,Moore
2012,484,616,765,788,Nash
2012,668,807,1131,1163,New Hanover
2012,515,584,743,764,Northampton
2012,621,698,980,1150,Onslow
2012,695,779,1018,1098,Orange
2012,545,641,807,830,Pamlico
2012,577,686,996,1026,Pasquotank
2012,510,613,806,829,Pender
2012,495,584,788,808,Perquimans
2012,534,644,769,882,Person
2012,556,685,949,980,Pitt
2012,484,594,743,766,Polk
2012,586,653,827,885,Randolph
2012,526,584,734,757,Richmond
2012,503,584,701,780,Robeson
2012,493,584,725,748,Rockingham
2012,597,663,946,1010,Rowan
2012,478,584,699,720,Rutherford
2012,495,584,811,1028,Sampson
2012,495,628,763,951,Scotland
2012,506,619,843,917,Stanly
2012,533,618,842,990,Stokes
2012,525,584,780,802,Surry
2012,544,652,855,996,Swain
2012,600,664,838,884,Transylvania
2012,495,584,788,808,Tyrrell
2012,713,791,997,1160,Union
2012,543,653,782,806,Vance
