SERIALNO,SPORDER,year,total_taxes
24816,1,2018,159
24867,1,2018,0
24898,3,2018,1542
24898,1,2018,255229
24903,1,2018,0
24920,1,2018,189
24936,1,2018,-382
24972,1,2018,10142
25013,1,2018,333
25089,1,2018,-306
25133,2,2018,-183
25133,1,2018,483
25143,1,2018,-6165
25162,1,2018,0
25175,1,2018,4625
25183,1,2018,14510
25190,1,2018,0
25222,3,2018,10692
25222,1,2018,4082
25276,1,2018,9554
25276,1,2018,-229
25331,1,2018,8308
25388,1,2018,4887
25414,1,2018,-229
25429,1,2018,7942
25436,1,2018,5038
25446,1,2018,-518
25488,1,2018,0
25495,1,2018,3593
25520,7,2018,5237
25520,1,2018,105143
25525,1,2018,-2752
25552,1,2018,2263
25561,1,2018,1170
25572,1,2018,30460
25574,1,2018,2053
25697,1,2018,149780
25705,1,2018,113
25790,1,2018,3768
25810,1,2018,3488
25815,1,2018,0
25838,1,2018,1291
25879,1,2018,4012
25881,1,2018,2188
25894,1,2018,11635
25970,1,2018,0
25973,1,2018,1108
26000,1,2018,0
26052,1,2018,0
26072,1,2018,0
26091,1,2018,6637
26112,1,2018,5753
26188,1,2018,0
26204,1,2018,1573
26212,1,2018,0
26243,1,2018,4069
26245,1,2018,219
26253,4,2018,2088
26253,1,2018,1754
26313,1,2018,1738
26319,1,2018,1573
26361,1,2018,0
26395,1,2018,1108
26428,1,2018,43279
26444,1,2018,0
26475,1,2018,0
26484,1,2018,3517
26499,1,2018,0
26501,1,2018,0
26538,1,2018,15385
26596,1,2018,634
26626,1,2018,9317
26633,1,2018,1837
26635,1,2018,0
26644,1,2018,0
26700,1,2018,2093
26716,2,2018,5412
26716,1,2018,14817
26717,3,2018,0
26717,1,2018,0
26740,1,2018,1913
26742,1,2018,10125
26756,1,2018,8925
26792,1,2018,5426
26793,1,2018,-519
26809,1,2018,7920
26815,1,2018,2865
26834,1,2018,7553
26852,1,2018,1418
26867,3,2018,1738
26867,1,2018,45574
26903,1,2018,0
26952,1,2018,-137
26963,1,2018,0
26999,1,2018,0
27027,1,2018,7942
27041,1,2018,0
27048,1,2018,2759
27067,1,2018,0
27068,1,2018,7326
27111,1,2018,1108
27120,1,2018,30859
27149,1,2018,24685
27158,1,2018,0
27168,1,2018,0
27175,1,2018,19460
27177,1,2018,-1204
27182,1,2018,1738
27202,1,2018,5138
27205,1,2018,4887
27207,1,2018,18760
27208,1,2018,-114
27243,1,2018,0
27271,1,2018,782
27295,1,2018,2088
27355,1,2018,2963
27396,1,2018,1896
27397,1,2018,0
27403,1,2018,-7976
27414,1,2018,12342
27484,1,2018,0
27502,1,2018,9554
27518,1,2018,357
27525,1,2018,-2312
27526,1,2018,0
27545,1,2018,0
27548,1,2018,24912
27586,1,2018,0
27643,1,2018,0
27648,1,2018,0
27684,1,2018,-298
27714,1,2018,138269
27759,1,2018,2613
27766,1,2018,9800
27770,1,2018,1253
27779,1,2018,-519
27780,1,2018,-198
27780,1,2018,3147
27784,1,2018,298
27847,1,2018,144165
27849,2,2018,4537
27849,1,2018,0
27891,1,2018,4187
27903,1,2018,2438
27919,1,2018,7947
28023,1,2018,0
28044,1,2018,643
28200,4,2018,3138
28200,1,2018,-7325
28244,2,2018,5587
28244,1,2018,5587
28253,1,2018,0
28271,1,2018,0
28338,1,2018,7625
28365,1,2018,13460
28382,1,2018,1294
28394,1,2018,549
28411,1,2018,3173
28423,1,2018,-7976
28429,1,2018,0
28441,1,2018,0
28475,1,2018,1418
28521,1,2018,2980
28591,1,2018,0
28598,1,2018,2744
28670,1,2018,4012
28674,1,2018,321
28690,1,2018,0
28692,1,2018,1573
28721,1,2018,0
28733,1,2018,5587
28805,1,2018,-160
28810,1,2018,2263
28815,1,2018,117
28834,1,2018,0
28837,1,2018,15735
28874,1,2018,12400
28881,2,2018,6637
28881,1,2018,14817
28882,1,2018,1294
28916,1,2018,922
28958,1,2018,0
28988,1,2018,0
28998,1,2018,-334
29029,1,2018,20610
29091,1,2018,3330
29094,1,2018,41
29096,1,2018,12225
29115,1,2018,31217
29133,1,2018,150149
29141,1,2018,3138
29143,1,2018,-130
29176,1,2018,26885
29182,1,2018,8721
29205,1,2018,0
29239,1,2018,0
29251,1,2018,-4496
29252,1,2018,0
29256,1,2018,-334
29281,1,2018,113
29339,1,2018,0
