"","SERIALNO","SPORDER","year","total_taxes"
"555",16554,5,2011,3367
"556",16554,1,2011,8274
"557",16616,1,2011,0
"558",16636,2,2011,8811
"559",16636,1,2011,814
"560",16646,1,2011,12949
"561",16648,1,2011,9097
"562",16691,1,2011,0
"563",16710,1,2011,332
"564",16740,1,2011,685
"565",16758,1,2011,6232
"566",16786,1,2011,13975
"567",16805,1,2011,4836
"568",16841,1,2011,4513
"569",16937,1,2011,29686
"570",16975,1,2011,-9
"571",16981,1,2011,0
"572",17016,1,2011,5395
"573",17019,1,2011,-28
"574",17041,1,2011,0
"575",17105,1,2011,0
"576",17115,1,2011,10001
"577",17166,1,2011,8541
"578",17170,1,2011,0
"579",17226,3,2011,4799
"580",17226,1,2011,15687
"581",17269,1,2011,8381
"582",17359,1,2011,10677
"583",17367,1,2011,2876
"584",17411,1,2011,0
"585",17417,1,2011,17267
"586",17421,1,2011,11712
"587",17424,1,2011,42315
"588",17463,1,2011,0
"589",17465,1,2011,0
"590",17487,1,2011,4513
"591",17522,1,2011,0
"592",17525,1,2011,2952
"593",17546,1,2011,13607
"594",17550,1,2011,0
"595",17571,1,2011,4334
"596",17596,1,2011,-1171
"597",17601,1,2011,0
"598",17609,1,2011,11250
"599",17626,1,2011,3367
"600",17650,1,2011,4167
"601",17696,1,2011,17267
"602",17728,1,2011,177
"603",17780,1,2011,14145
"604",17803,1,2011,32116
"605",17848,3,2011,619
"606",17848,1,2011,17005
"607",17865,1,2011,0
"608",17881,1,2011,4688
"609",17893,1,2011,28567
"610",17969,1,2011,25933
"611",18108,1,2011,0
"612",18111,1,2011,11819
"613",18173,1,2011,3219
"614",18285,3,2011,2095
"615",18285,1,2011,17893
"616",18292,1,2011,3367
"617",18362,1,2011,-417
"618",18376,1,2011,0
"619",18384,1,2011,12562
"620",18420,1,2011,6576
"621",18442,1,2011,5945
"622",18454,1,2011,-2323
"623",18514,1,2011,120
"624",18588,1,2011,0
"625",18633,1,2011,7378
"626",18639,1,2011,429746
"627",18654,1,2011,0
"628",18657,1,2011,14515
"629",18667,1,2011,0
"630",18676,2,2011,3367
"631",18676,1,2011,1438
"632",18748,1,2011,25845
"633",18758,2,2011,4799
"634",18758,1,2011,7034
"635",18765,1,2011,0
"636",18803,1,2011,0
"637",18842,1,2011,2196
"638",18920,1,2011,0
"639",18949,1,2011,18155
"640",18949,3,2011,808
"641",18950,1,2011,0
"642",19056,1,2011,6444
"643",19115,1,2011,31545
"644",19149,1,2011,10963
"645",19169,1,2011,8449
"646",19176,1,2011,53919
"647",19191,1,2011,0
"648",19218,1,2011,0
"649",19235,1,2011,0
"650",19282,1,2011,0
"651",19299,1,2011,0
"652",19315,1,2011,4513
"653",19321,1,2011,166
"654",19323,1,2011,0
"655",19392,1,2011,4235
"656",19401,2,2011,7091
"657",19401,1,2011,9670
"658",19426,1,2011,15150
"659",19524,1,2011,0
"660",19534,1,2011,6576
"661",19539,1,2011,1701
"662",19582,1,2011,0
"663",19588,1,2011,1044
"664",19641,1,2011,2936
"665",19651,2,2011,12949
"666",19651,3,2011,-52
"667",19651,1,2011,2797
"668",19747,1,2011,2118
"669",19798,1,2011,4746
"670",19824,1,2011,0
"671",19854,1,2011,8736
"672",19900,1,2011,0
"673",19945,1,2011,117459
"674",19946,1,2011,0
"675",19957,1,2011,434
"676",19973,1,2011,0
"677",19974,1,2011,9420
"678",19990,1,2011,3713
"679",20039,1,2011,16462
"680",20088,1,2011,100
"681",20149,1,2011,0
"682",20188,1,2011,24305
"683",20189,1,2011,4771
"684",20193,2,2011,6232
"685",20193,3,2011,568
"686",20193,1,2011,0
"687",20244,1,2011,7555
"688",20297,1,2011,1914
"689",20316,1,2011,8618
"690",20425,1,2011,0
"691",20436,1,2011,-6332
"692",20498,1,2011,0
"693",20503,1,2011,4585
"694",20531,1,2011,16407
"695",20541,1,2011,0
"696",20548,1,2011,9785
"697",20561,1,2011,0
"698",20572,1,2011,0
"699",20598,1,2011,-48
"700",20630,1,2011,720
"701",20715,1,2011,25685
"702",20855,1,2011,0
"703",20925,2,2011,3367
"704",20925,1,2011,3367
"705",20932,1,2011,0
"706",20973,1,2011,29034
